Frame,Iris Dilation,Pupil Dilation,Ratio,Processed Iris Dilation,Processed Pupil Dilation,Processed Ratio
225,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
226,150.61471557617188,49.0,0.32533,150.61471557617188,49.0,0.32533
227,150.61471557617188,48.5,0.32201,150.61471557617188,48.5,0.32201
228,150.61471557617188,48.5,0.32201,150.61471557617188,48.5,0.32201
229,150.61471557617188,49.0,0.32533,150.61471557617188,49.0,0.32533
230,150.61471557617188,49.0,0.32533,150.61471557617188,49.0,0.32533
231,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
232,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
233,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
234,150.61471557617188,50.0,0.33197,150.61471557617188,50.0,0.33197
235,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
236,150.61471557617188,49.0,0.32533,150.61471557617188,49.0,0.32533
237,154.0,49.0,0.31818,154.0,49.0,0.31818
238,150.9532470703125,50.0,0.33123,150.9532470703125,50.0,0.33123
239,151.0209503173828,49.5,0.32777,151.0209503173828,49.5,0.32777
240,151.10220336914062,49.5,0.32759,151.10220336914062,49.5,0.32759
241,151.19967651367188,50.0,0.33069,151.19967651367188,50.0,0.33069
242,151.3166961669922,50.0,0.33043,151.3166961669922,50.0,0.33043
243,151.11854553222656,51.5,0.34079,151.11854553222656,51.5,0.34079
244,151.151611328125,51.5,0.34072,151.151611328125,51.5,0.34072
245,151.17774963378906,52.5,0.34727,151.17774963378906,52.5,0.34727
246,151.19284057617188,47.529843005326605,0.31437,151.19284057617188,47.529843005326605,0.31437
247,151.19149780273438,47.529843005326605,0.31437,151.19149780273438,47.529843005326605,0.31437
248,151.1664581298828,47.52984300532661,0.31442,151.1664581298828,47.52984300532661,0.31442
249,151.17604064941406,47.529843005326605,0.31440,151.17604064941406,47.529843005326605,0.31440
250,151.18092346191406,47.529843005326605,0.31439,151.18092346191406,47.529843005326605,0.31439
251,151.18154907226562,47.529843005326605,0.31439,151.18154907226562,47.529843005326605,0.31439
252,151.17929077148438,47.529843005326605,0.31439,151.17929077148438,47.529843005326605,0.31439
253,151.17684936523438,55.0,0.36381,151.17684936523438,55.0,0.36381
254,151.17892456054688,47.559253072234775,0.31459,151.17892456054688,47.559253072234775,0.31459
255,151.1795196533203,47.55925307223477,0.31459,151.1795196533203,47.55925307223477,0.31459
256,151.17922973632812,42.5,0.28112,151.17922973632812,42.5,0.28112
257,151.1787567138672,47.53956726261518,0.31446,151.1787567138672,47.53956726261518,0.31446
258,151.17864990234375,45.5,0.30097,151.17864990234375,45.5,0.30097
259,151.1790313720703,47.53169248553944,0.31441,151.1790313720703,47.53169248553944,0.31441
260,151.17904663085938,45.5,0.30097,151.17904663085938,45.5,0.30097
261,151.17893981933594,47.52390822314274,0.31436,151.17893981933594,47.52390822314274,0.31436
262,151.17889404296875,45.5,0.30097,151.17889404296875,45.5,0.30097
263,151.1789093017578,47.516212754613676,0.31430,151.1789093017578,47.516212754613676,0.31430
264,151.17898559570312,47.516212754613676,0.31430,151.17898559570312,47.516212754613676,0.31430
265,151.17893981933594,47.516212754613676,0.31430,151.17893981933594,47.516212754613676,0.31430
266,151.17893981933594,47.516212754613676,0.31430,151.17893981933594,47.516212754613676,0.31430
267,151.17892456054688,50.0,0.33073,151.17892456054688,50.0,0.33073
268,151.178955078125,47.5254806174696,0.31437,151.178955078125,47.5254806174696,0.31437
269,149.0,47.5254806174696,0.31896,149.0,47.5254806174696,0.31896
270,150.96104431152344,47.5254806174696,0.31482,150.96104431152344,47.5254806174696,0.31482
271,150.91746520996094,47.5254806174696,0.31491,150.91746520996094,47.5254806174696,0.31491
272,150.86517333984375,47.5254806174696,0.31502,150.86517333984375,47.5254806174696,0.31502
273,150.8024444580078,47.5254806174696,0.31515,150.8024444580078,47.5254806174696,0.31515
274,150.72714233398438,47.52548061746959,0.31531,150.72714233398438,47.52548061746959,0.31531
275,150.8546600341797,51.5,0.34139,150.8546600341797,51.5,0.34139
276,150.8333740234375,47.539881050015,0.31518,150.8333740234375,47.539881050015,0.31518
277,150.81655883789062,47.539881050015,0.31522,150.81655883789062,47.539881050015,0.31522
278,150.8068389892578,47.539881050015,0.31524,150.8068389892578,47.539881050015,0.31524
279,150.80770874023438,47.539881050015,0.31524,150.80770874023438,47.539881050015,0.31524
280,150.82383728027344,46.5,0.30831,150.82383728027344,46.5,0.30831
281,150.8176727294922,46.5,0.30832,150.8176727294922,46.5,0.30832
282,150.81451416015625,45.0,0.29838,150.81451416015625,45.0,0.29838
283,150.81411743164062,45.0,0.29838,150.81411743164062,45.0,0.29838
284,150.81556701660156,44.5,0.29506,150.81556701660156,44.5,0.29506
285,150.817138671875,45.0,0.29837,150.817138671875,45.0,0.29837
286,150.81581115722656,45.5,0.30169,150.81581115722656,45.5,0.30169
287,150.8154296875,45.0,0.29838,150.8154296875,45.0,0.29838
288,150.81561279296875,46.0,0.30501,150.81561279296875,46.0,0.30501
289,150.81591796875,46.0,0.30501,150.81591796875,46.0,0.30501
290,150.81597900390625,46.0,0.30501,150.81597900390625,46.0,0.30501
291,150.8157501220703,45.5,0.30169,150.8157501220703,45.5,0.30169
292,150.8157501220703,45.5,0.30169,150.8157501220703,45.5,0.30169
293,150.81581115722656,45.0,0.29838,150.81581115722656,45.0,0.29838
294,150.8158416748047,46.0,0.30501,150.8158416748047,46.0,0.30501
295,150.81582641601562,46.0,0.30501,150.81582641601562,46.0,0.30501
296,150.8157958984375,45.5,0.30169,150.8157958984375,45.5,0.30169
297,150.8157958984375,45.0,0.29838,150.8157958984375,45.0,0.29838
298,150.81582641601562,45.0,0.29838,150.81582641601562,45.0,0.29838
299,150.81581115722656,45.0,0.29838,150.81581115722656,45.0,0.29838
300,150.81581115722656,46.0,0.30501,150.81581115722656,46.0,0.30501
301,150.81581115722656,46.5,0.30832,150.81581115722656,46.5,0.30832
302,150.81581115722656,54.0,0.35805,150.81581115722656,54.0,0.35805
303,150.81582641601562,56.0,0.37131,150.81582641601562,56.0,0.37131
304,150.81581115722656,47.44462728290855,0.31459,150.81581115722656,47.44462728290855,0.31459
305,150.81582641601562,48.5,0.32158,150.81582641601562,48.5,0.32158
306,150.81582641601562,47.448076213356565,0.31461,150.81582641601562,47.448076213356565,0.31461
307,150.81582641601562,47.448076213356565,0.31461,150.81582641601562,47.448076213356565,0.31461
308,150.81582641601562,47.448076213356565,0.31461,150.81582641601562,47.448076213356565,0.31461
309,150.81582641601562,47.44807621335656,0.31461,150.81582641601562,47.44807621335656,0.31461
